term,en,jp
daley,daley,デイリイ
dales,dales,デイルズ
dale,dale,デイル
dalco,dalco,ダルコ
dalai,dalai,ダライ
daisy,daisy,デイジー
daisies,daisies,デイジーズ
dais,dais,デイス
dairy,dairy,デーリー
dairies,dairies,デアリイズ
dainty,dainty,デインティー
daintiness,daintiness,デインティネス
daintily,daintily,デインティリイ
dainties,dainties,テインティイズ
dainfully,dainfully,デインフリイ
dainamic,dainamic,ダイナミック
daimler,daimler,ダイムラー
daily,daily,デイリー
dailies,dailies,デイリーズ
dahlia,dahlia,デイリア
daguerreotype,daguerreotype,ダゲレオタイプ
dagger,dagger,ダガー
dafts,dafts,ダフツ
daft,daft,ダフトゥ
daffy,daffy,ダッフィー
daffodil,daffodil,ダッフォディル
dafferent,dafferent,デフェレントゥ
daepodong,daepodong,デポドン
daemon,daemon,ディーモン
dae,dae,デ
dads,dads,ダッズ
daddy,daddy,ダディー
daddie,daddie,ダディー
dad,dad,ダッドゥ
dacha,dacha,ダーチャ
dacca,dacca,ダッカ
dabs,dabs,ダブズ
dabbling,dabbling,ダブリング
dabbles,dabbles,ダブルズ
dabbler,dabbler,ダブラー
dabbled,dabbled,ダブルドゥ
dabble,dabble,ダブル
dabbing,dabbing,ダビング
dabbed,dabbed,ダブドゥ
dabaghiyah,dabaghiyah,ダバギヤ
dab,dab,ダブ
czechoslovakia,czechoslovakia,チェコスロウバキア
czech,czech,チェク
czar,czar,シーザー
czar,czar,ザー
cytotoxic,cytotoxic,サイトトキシック
cytotherapeutics,cytotherapeutics,サイトセラピューティックス
cytotherapeutic,cytotherapeutic,サイトセラピューティック
cytostatics,cytostatics,サイトスタティックス
cytosolic,cytosolic,サイトゾーリック
cytosines,cytosines,サイトシーンズ
cytosine,cytosine,サイトシン
cytoplasmic,cytoplasmic,サイトプラズミク
cytoplasm,cytoplasm,サイトプラズム
cytomegalovirus,cytomegalovirus,サイトゥメガロヴァイラス
cytokines,cytokines,サイトカインズ
cytokine,cytokine,サイトカイン
cytochromes,cytochromes,サイトクロウムズ
cytochrome,cytochrome,サイトクローム
cysts,cysts,シスツ
cystoscopic,cystoscopic,シストウスコピク
cystoid,cystoid,シストイドゥ
cysto,cysto,シストウ
cystic,cystic,システィック
cystein,cystein,システイン
cyst,cyst,シストゥ
cyrix,cyrix,サイリックス
cyril,cyril,シリル
cyprus,cyprus,サイプラス
cyproterone,cyproterone,サイプロテロウン
cypress,cypress,サイプレス
cyoshi,cyoshi,チョウシ
cyofu,cyofu,チョウフ
cynthia,cynthia,シンシア
cynics,cynics,シニックス
cynicism,cynicism,シニシズム
cynically,cynically,シニカリー
cynical,cynical,シニカル
cynic,cynic,シニック
cymbeline,cymbeline,シンベリン
cymbal,cymbal,シンバル
cylke,cylke,シルケ
cylix,cylix,サイリックス
cylindroid,cylindroid,シリンドゥロイドゥ
cylindrical,cylindrical,シリンドゥリカル
cylindric,cylindric,シリンドゥリク
cylinder,cylinder,シリンダー
cygnus,cygnus,サイナス
cygnet,cygnet,シグネトゥ
cyder,cyder,サイダー
cyclotron,cyclotron,サイクロトゥロン
cyclophosphamide,cyclophosphamide,サイクロフォスファマイドゥ
cyclooxygenase,cyclooxygenase,シクロオクシゲナーゼ
cyclones,cyclones,サイクロンズ
cyclone,cyclone,サイクロン
cyclist,cyclist,サイクリストゥ
cycling,cycling,サイクリング
cyclin,cyclin,サイクリン
cyclical,cyclical,サイクリカル
cycles,cycles,サイクルズ
cycled,cycled,サイクルドゥ
cycle,cycle,サイクル
cyborg,cyborg,サイボーグ
cyberspace,cyberspace,サイバースペイス
cyberpunk,cyberpunk,サイバーパンク
cybernetics,cybernetics,サイバネティックス
cybernetic,cybernetic,サイバネティック
cyber,cyber,サイバー
cyano,cyano,サイアノ
cyanizing,cyanizing,サイアナイジング
cyanized,cyanized,サイアナイズドゥ
cyanize,cyanize,サイアナイズ
cyanitic,cyanitic,サイアナイティク
cyanite,cyanite,サイアナイトゥ
cyanine,cyanine,サイアニン
cyanide,cyanide,サイアナイドゥ
cyanic,cyanic,サイアニック
cyanate,cyanate,サイアネイトゥ
cyanamid,cyanamid,サイアナミッドゥ
cyan,cyan,サイアン
cvtkei,cvtkei,シーブイティイケイ
cvs,cvs,シーブイエス
cuturier,cuturier,クーチュリエイ
cuttle,cuttle,カトゥル
cutting,cutting,カティング
cutter,cutter,カッター
cuts,cuts,カッツ
cutourier,cutourier,クートゥリエイ
cutlet,cutlet,カットゥリットゥ
cutlery,cutlery,カトゥラリイ
cutler,cutler,キャトゥラー
cuticle,cuticle,キューティクル
cutesy,cutesy,キュートゥシイ
cutest,cutest,キューテストゥ
cuter,cuter,キュータア
cute,cute,キュートゥ
cutch,cutch,カッチ
cutback,cutback,カウントゥバック
cutaway,cutaway,カットアウェイ
cutaneous,cutaneous,キューテイニアス
cutaneo,cutaneo,キューテイニオウ
cut,cut,カットゥ
customs,customs,カスタムズ
customizing,customizing,カスタマイジング
customizes,customizes,カスタマイジズ
customizer,customizer,カスタマイザー
customized,customized,カスタマイズドゥ
customize,customize,カスタマイズ
customization,customization,カスタマイゼイション
customizable,customizable,カスタマイザブル
customised,customised,カスタマイズドゥ
customhouse,customhouse,カスタムハウス
customer,customer,カスタマー
customed,customed,カスタムドゥ
customazation,customazation,カスタマゼイション
customary,customary,カスタマリー
customarily,customarily,カスタマリリー
customable,customable,カスタマブル
custom,custom,カスタム
custody,custody,カストディー
custodian,custodian,カストウディアン
custodial,custodial,カストウディアル
custer,custer,カスター
custard,custard,カスタードゥ
cussword,cussword,カスワードゥ
cussed,cussed,カストゥ
cusps,cusps,カスプス
cuspidor,cuspidor,カスピドー
cusp,cusp,カスプ
cusk,cusk,カスク
cushy,cushy,クッシイ
cushioning,cushioning,クショニング
cushioned,cushioned,クッションドゥ
cushion,cushion,クッション
cushing,cushing,クッシング
cusack,cusack,キューサック
curving,curving,カービング
curved,curved,カーブドゥ
curve,curve,カーブ
curvatures,curvatures,カーバチュアズ
curvature,curvature,カーバチァー
curvaceous,curvaceous,カーベイシャス
curtsy,curtsy,カーツィイ
curtsied,curtsied,カーツィイドゥ
curtis,curtis,カーティス
curtil,curtil,カーティル
curtained,curtained,カーテンドゥ
curtain,curtain,カーテン
curtailing,curtailing,カーテイリング
curtailer,curtailer,カーテイラー
curtailed,curtailed,カーテイルドゥ
curtail,curtail,カーテイル
curt,curt,カートゥ
cursy,cursy,カーシー
curst,curst,カーストゥ
cursory,cursory,カーソリー
cursortype,cursortype,カーソルタイプ
cursoring,cursoring,カーサリング
cursorily,cursorily,カーサリリー
cursor,cursor,カーサー
cursive,cursive,カーシブ
cursion,cursion,カーション
cursing,cursing,カーシング
curses,curses,カーシズ
cursed,cursed,カーストゥ
curse,curse,カース
curry,curry,カリー
currish,currish,カーリッシュ
curring,curring,カーリング
curries,curries,カリーズ
currier,currier,カリアー
curried,curried,カリードゥ
currie,currie,カーリイ
curriculums,curriculums,カリキュラムズ
curriculum,curriculum,カリキュラム
curricular,curricular,カリキュラー
curricula,curricula,カリキュラ
curri,curri,キュリ
currents,currents,カレンツ
current,current,カレントゥ
currency,currency,カレンシー
currencies,currencies,カレンシーズ
curred,curred,カードゥ
currants,currants,カランツ
currant,currant,カラントゥ
curon,curon,カーソルオン
curoff,curoff,カーソルオフ
curmudgeon,curmudgeon,カーマジャン
curme,curme,カーム
curly,curly,カーリー
curling,curling,カーリング
curliest,curliest,カーリエストゥ
curler,curler,カーラー
curled,curled,カールドゥ
curl,curl,カール
curiousest,curiousest,キュリアセストゥ
curiouser,curiouser,キュリアサー
curious,curious,キュリアス
curiosity,curiosity,キュリオシティー
curiosities,curiosities,キュリオシティース
curio,curio,キューリオウ
curing,curing,キュアリング
curier,curier,カーリアー
curie,curie,キュリー
curiae,curiae,キューリアイ
curfew,curfew,カフィゥ
curette,curette,キューレットゥ
cured,cured,キュアードゥ
cure,cure,キュアー
curdled,curdled,カードゥルドゥ
curdle,curdle,カードゥル
curd,curd,カードゥ
curbing,curbing,カービング
curbed,curbed,カーブドゥ
curbable,curbable,カーバブル
curb,curb,カーブ
curator,curator,キューレイター
curative,curative,キューラティブ
curate,curate,キューレトゥ
curacy,curacy,キューラシー
curable,curable,キュアラブル
cur,cur,カー
cups,cups,カップス
cupping,cupping,カッピング
cupped,cupped,カップトゥ
cuppa,cuppa,カッパ
cupola,cupola,キューポラ
cupids,cupids,キューピズ
cupidity,cupidity,キューピディティー
cupid,cupid,キューピッドゥ
cupcake,cupcake,カップケイク
cupboard,cupboard,カバードゥ
cup,cup,カップ
cuozzo,cuozzo,クォーゾウ
cunts,cunts,カンツ
cunt,cunt,カントゥ
cunning,cunning,カニング
cunnilingus,cunnilingus,カニリンガス
cunard,cunard,キュナードゥ
cumulus,cumulus,キューミュラス
cumulative,cumulative,キューミュレイティブ
cumulation,cumulation,キュミュレイション
cumulate,cumulate,キューミュレイトゥ
cummings,cummings,カミングズ
cumbrous,cumbrous,カムブラス
cumbria,cumbria,カンブリア
cumbrance,cumbrance,カンバランス
cumbersome,cumbersome,カンバーサム
cumberland,cumberland,カンバランドゥ
cumbered,cumbered,カムバードゥ
cumber,cumber,カムバー
cum,cum,カム
culvert,culvert,カルバートゥ
culturizing,culturizing,カルチャライジング
culturizes,culturizes,カルチャライジズ
culturized,culturized,カルチャライズドゥ
culturize,culturize,カルチャライズ
culturization,culturization,カルチャリゼイション
culturising,culturising,カルチャライジング
culturises,culturises,カルチャライジズ
culturised,culturised,カルチャライズドゥ
culturise,culturise,カルチャライズ
culturisation,culturisation,カルチャリゼイション
culturing,culturing,カルチャリング
cultured,cultured,カルチャアドゥ
culture,culture,カルチャア
culturally,culturally,カルチュラリー
cultural,cultural,カルチュラル
cults,cults,カルツ
cultivator,cultivator,カルティベイター
cultivation,cultivation,カルティベイション
cultivating,cultivating,カルティベイティング
cultivates,cultivates,カルティベイツ
cultivated,cultivated,カルティベイティドゥ
cultivate,cultivate,カルティベイトゥ
cultivable,cultivable,カルティヴァブル
cultists,cultists,カルティスツ
cultist,cultist,カルティストゥ
cultism,cultism,カルティズム
cultish,cultish,カルティッシュ
culting,culting,カルティング
culted,culted,カルティドゥ
cult,cult,カルトゥ
culprits,culprits,カルプリッツ
culprit,culprit,カルプリットゥ
culpably,culpably,カルパブリイ
culpable,culpable,カルパブル
culpability,culpability,カルパビリティイ
culottes,culottes,キューロッツ
culmington,culmington,カルミントン
culmination,culmination,カルミネイション
culminating,culminating,カルミネイティング
culminates,culminates,カルミネイツ
culminated,culminated,カルミネイティドゥ
culminate,culminate,カルミネイトゥ
culling,culling,カリング
culled,culled,カルドゥ
cull,cull,カル
culkin,culkin,カルキン
culinary,culinary,キューリナリー
cuisine,cuisine,クイジーン
cuffs,cuffs,カフス
cufflink,cufflink,カフリンク
cuffed,cuffed,カフトゥ
cuff,cuff,カフ
cues,cues,キューズ
cued,cued,キュードゥ
cue,cue,キュー
cudgel,cudgel,カジル
cuddly,cuddly,カドゥリー
cuddling,cuddling,カドゥリング
cuddled,cuddled,カドゥルドゥ
cuddle,cuddle,カドゥル
cudd,cudd,カドゥ
cud,cud,カドゥ
cucumber,cucumber,キューカンバー
cuckoos,cuckoos,ククーズ
cuckoo,cuckoo,ククー
cuckold,cuckold,カクルドゥ
cuchulain,cuchulain,クーフリン
cubs,cubs,カブズ
cuboid,cuboid,キューボイドゥ
cubit,cubit,キュービトゥ
cubism,cubism,キューイズム
cubicle,cubicle,キュービクル
cubical,cubical,キュービカル
cubic,cubic,キュービック
cubes,cubes,キューブズ
cubed,cubed,キューブドゥ
cube,cube,キューブ
cubbins,cubbins,カビンズ
cuban,cuban,キューバン
cuba,cuba,キューバ
cub,cub,カブ
ctime,ctime,シータイム
ctext,ctext,シイテキストゥ
ctec,ctec,シイテック
csync,csync,シーシンク
csnet,csnet,シーエスネットゥ
cset,cset,シイセットゥ
cseg,cseg,シーセグ
csalloc,csalloc,シーエスアロック
crystaloids,crystaloids,クリスタロイズ
crystaloid,crystaloid,クリスタロイドゥ
crystallographic,crystallographic,クリスタログラフィック
crystallizes,crystallizes,クリスタライゼス
crystallizer,crystallizer,クリスタライザー
crystallized,crystallized,クリスタライズドゥ
crystallize,crystallize,クリスタライズ
crystallization,crystallization,クリスタライゼイション
crystalline,crystalline,クリスタライン
crystal,crystal,クリスタル
cryst,cryst,クリプトゥ
crys,crys,クライズ
cryptomeria,cryptomeria,クリプトミアリア
cryptography,cryptography,クリプトグラフィイ
cryptographics,cryptographics,クリプトグラフィックス
cryptographically,cryptographically,クリプトグラフィカリイ
cryptographical,cryptographical,クリプトグラフィカル
cryptographic,cryptographic,クリプトグラフィック
cryptogam,cryptogam,クリプトガム
cryptococal,cryptococal,クリプトコカル
crypto,crypto,クリプトウ
cryptic,cryptic,クリプティック
crypt,crypt,クリプトゥ
cryopreservation,cryopreservation,クライオプリザベイション
crynwr,crynwr,クリンワー
cry,cry,クライ
cruz,cruz,クルーズ
crux,crux,クラックス
cruthes,cruthes,クラッチス
crutches,crutches,クラッチズ
crutched,crutched,クラッチトゥ
crutch,crutch,クラッチ
crusty,crusty,クラスティー
crusts,crusts,クラスツ
crustal,crustal,クラスタル
crust,crust,クラストゥ
crusoe,crusoe,クルーソー
crushing,crushing,クラッシング
crushes,crushes,クラッシズ
crusher,crusher,クラッシャー
crushed,crushed,クラッシュトゥ
crush,crush,クラッシュ
crusading,crusading,クルーセイディング
crusades,crusades,クルーセイズ
crusader,crusader,クルーセイダー
crusaded,crusaded,クルーセイディドゥ
crusade,crusade,クルーセイドゥ
crunchy,crunchy,クランチイ
crunching,crunching,クランチング
crunches,crunches,クランチズ
crunched,crunched,クランチトゥ
crunch,crunch,クランチ
crumpling,crumpling,クラムプリング
crumpled,crumpled,クラムプルドゥ
crumple,crumple,クラムプル
crumpet,crumpet,クラムペトゥ
crumped,crumped,クランプトゥ
crump,crump,クランプ
crummy,crummy,クラミイ
crummmy,crummmy,クラミイ
crummiest,crummiest,クラミストゥ
crummier,crummier,クラミアー
crummie,crummie,クラミイ
crumbs,crumbs,クラムズ
crumbly,crumbly,クランブリイ
crumbling,crumbling,クランブリング
crumbles,crumbles,クランブルズ
crumbled,crumbled,クラムブルドゥ
crumble,crumble,クラムブル
crumb,crumb,クラム
cruller,cruller,クララー
cruising,cruising,クルージング
cruises,cruises,クルージズ
cruiser,cruiser,クルーザー
cruised,cruised,クルーズドゥ
cruise,cruise,クルーズ
cruft,cruft,クラフトゥ
cruelty,cruelty,クルーエルティー
cruelties,cruelties,クルーエルティーズ
cruelly,cruelly,クルーエリー
cruelest,cruelest,クルーエリストゥ
crueler,crueler,クルーエラー
cruel,cruel,クルーエル
cruder,cruder,クルーダー
crude,crude,クルードゥ
crud,crud,クラッドゥ
crucify,crucify,クルーシファイ
crucifixion,crucifixion,クルーシフィクション
crucifix,crucifix,クルーシフィクス
crucified,crucified,クルーシファイドゥ
cruciferous,cruciferous,クルーシファラス
crucible,crucible,クルーシブル
cruciate,cruciate,クルーシアトゥ
crucially,crucially,クルーシャリー
crucial,crucial,クルーシャル
crowned,crowned,クラウンドゥ
crown,crown,クラウン
crowley,crowley,クロウリー
crowfoot,crowfoot,クローフットゥ
crowed,crowed,クロウドゥ
crowds,crowds,クラウズ
crowding,crowding,クラウディング
crowded,crowded,クラウディドゥ
crowd,crowd,クラウドゥ
crowbar,crowbar,クローバー
crow,crow,クロウ
croup,croup,クループ
crouching,crouching,クラウティング
crouches,crouches,クラウチズ
crouched,crouched,クラウチトゥ
crouch,crouch,クラウチ
crotchety,crotchety,クロチェティイ
crotchet,crotchet,クロチェットゥ
crotch,crotch,クロッチ
crossing,crossing,クロッシング
crossette,crossette,クロセットゥ
crossest,crossest,クロッセストゥ
crosses,crosses,クロッシズ
crosser,crosser,クロッサー
crossed,crossed,クロストゥ
cross,cross,クロス
crosby,crosby,クロスビイ
croquette,croquette,クロケットゥ
croquet,croquet,クロウケイ
cropping,cropping,クロッピング
cropper,cropper,クロッパー
cropped,cropped,クロップトゥ
crop,crop,クロップ
crooning,crooning,クルーニング
crooner,crooner,クルーナー
crooned,crooned,クルーンドゥ
croon,croon,クルーン
croom,croom,クルーム
crooks,crooks,クルックス
crooking,crooking,クルッキング
crooked,crooked,クルックトゥ
crook,crook,クルック
crony,crony,クロウニー
crontab,crontab,クロンタブ
cronies,cronies,クロウニイズ
crone,crone,クロウン
cron,cron,クロン
cromwell,cromwell,クロモウエル
cromwell,cromwell,クロムウェル
cromac,cromac,クロマック
croissant,croissant,クロワッサン
crohn,crohn,クローン
croft,croft,クロフトゥ
crocuses,crocuses,クローカシズ
crocus,crocus,クロウカス
crocodiles,crocodiles,クロコダイルズ
crocodile,crocodile,クロコダイル
crockery,crockery,クロッカリイ
crock,crock,クロック
crochet,crochet,クローシェイ
croats,croats,クロウアツ
croatia,croatia,クロウエイシャ
croat,croat,クロウアトゥ
croaks,croaks,クロークス
croaking,croaking,クローキング
croaked,croaked,クロークトゥ
croak,croak,クロウク
critter,critter,クリター
critiquing,critiquing,クリティキング
critique,critique,クリティーク
critics,critics,クリティクス
criticizing,criticizing,クリティサイジング
criticizes,criticizes,クリティサイジズ
criticized,criticized,クリティサイズドゥ
criticize,criticize,クリティサイズ
criticism,criticism,クリティシズム
criticising,criticising,クリティサイジング
criticises,criticises,クリティサイジズ
criticised,criticised,クリティサイズドゥ
criticise,criticise,クリティサイズ
critically,critically,クリティカリー
critical,critical,クリティカル
critic,critic,クリティック
criterion,criterion,クライティーリオン
criteria,criteria,クライティリア
crista,crista,クリスタ
crisscrossing,crisscrossing,クリスクロッシング
crisscross,crisscross,クリスクロス
criss,criss,クリス
crispy,crispy,クリスピイ
crisping,crisping,クリスピング
crispest,crispest,クリスペストゥ
crisper,crisper,クリスパー
crispell,crispell,クリスペル
crisped,crisped,クリスプトゥ
crisp,crisp,クリスプ
crisis,crisis,クライシス
crises,crises,クライシーズ
crippling,crippling,クリプリング
cripples,cripples,クリプルズ
crippled,crippled,クリプルドゥ
cripple,cripple,クリプル
crinkly,crinkly,クリンクリイ
crinkling,crinkling,クリンクリング
crinkled,crinkled,クリンクルドゥ
crinkle,crinkle,クリンクル
cringing,cringing,クリンギング
cringes,cringes,クリンジズ
cringed,cringed,クリンジドゥ
cringe,cringe,クリンジ
cring,cring,クライング
crimsoned,crimsoned,クリムゾンドゥ
crimson,crimson,クリムゾン
crimps,crimps,クリンプス
crimping,crimping,クリンピング
crimped,crimped,クリンプトゥ
crimp,crimp,クリンプ
criminology,criminology,クリミノロジー
criminologist,criminologist,クリミナロジストゥ
criminologically,criminologically,クリミノロジカリイ
criminological,criminological,クリミノロジカル
criminator,criminator,クリミネイター
crimination,crimination,クリミネイション
criminating,criminating,クリミネイティング
criminates,criminates,クリミネイツ
criminated,criminated,クリミネイティドゥ
criminate,criminate,クリミネイトゥ
criminally,criminally,クリミナリイ
criminalizing,criminalizing,クリミナライジング
criminalized,criminalized,クリミナライズドゥ
criminalize,criminalize,クリミナライズ
criminality,criminality,クリミナリティイ
criminal,criminal,クリミナル
crimes,crimes,クライムズ
crimed,crimed,クライムドゥ
crimean,crimean,クリミアン
crime,crime,クライム
cries,cries,クライズ
crier,crier,クライアー
cried,cried,クライドゥ
crickets,crickets,クリケッツ
cricket,cricket,クリケトゥ
crick,crick,クリック
crichton,crichton,クライトン
cribbed,cribbed,クリブドゥ
cribbage,cribbage,クリベッジ
crib,crib,クリブ
crews,crews,クルーズ
crew,crew,クルー
crevice,crevice,クレビス
crevasse,crevasse,クレバス
creutzfeldt,creutzfeldt,クロイトゥフェルトゥ
cretonne,cretonne,クレトン
cretin,cretin,クリーティン
crete,crete,クリートゥ
crests,crests,クレスツ
creston,creston,クレストン
crestfallen,crestfallen,クレストゥホーレン
crest,crest,クレストゥ
cress,cress,クレス
creson,creson,クレソン
cresol,cresol,クレゾール
crescents,crescents,クレセンツ
crescent,crescent,クレセントゥ
crescendos,crescendos,クレシェンドウズ
crescendoes,crescendoes,クレシェンドウズ
crescendo,crescendo,クレシェンドウ
crept,crept,クレプトゥ
crepitation,crepitation,クレピテイション
crepe,crepe,クレイプ
creosote,creosote,クレオソートゥ
creole,creole,クリーオール
crenshaw,crenshaw,クレンショー
creme,creme,クレーム
crematory,crematory,クリーマトーリイ
crematorium,crematorium,クリーマトーリアム
crematories,crematories,クリーマトーリイズ
crematoria,crematoria,クリーマトーリア
cremator,cremator,クリメイター
cremationist,cremationist,クリメイショニストゥ
cremationism,cremationism,クリメイショニズム
cremation,cremation,クリメイション
cremating,cremating,クリメイティング
cremates,cremates,クリメイツ
cremated,cremated,クリメイティドゥ
cremate,cremate,クリメイトゥ
creighton,creighton,クライトン
cref,cref,クレフ
creepy,creepy,クリーピー
creeps,creeps,クリープス
creeping,creeping,クリーピング
creepily,creepily,クリーピリイ
creeper,creeper,クリーパー
creep,creep,クリープ
creel,creel,クリール
creeks,creeks,クリークス
creeking,creeking,クリーキング
creek,creek,クリーク
creeds,creeds,クリーズ
creed,creed,クリードゥ
creech,creech,クリーチ
credulous,credulous,クレジュラス
credulity,credulity,クレジュリティー
credo,credo,クリードウ
credits,credits,クレディッツ
creditor,creditor,クレディター
crediting,crediting,クレディティング
credited,credited,クレディティドゥ
creditable,creditable,クレディタブル
credit,credit,クレディットゥ
credibly,credibly,クレディブリイ
credible,credible,クレディブル
credibility,credibility,クレデビリティー
credential,credential,クレデンシャル
credence,credence,クリーデンス
creche,creche,クレイシュ
creature,creature,クリーチャー
creatura,creatura,クレアトゥウラ
creator,creator,クリエイター
creativity,creativity,クリエイティヴィティー
creative,creative,クリエイティブ
creationism,creationism,クリエイショニズム
creation,creation,クリエイション
creatinine,creatinine,クレアティニン
creating,creating,クリエイティング
creatine,creatine,クレアティン
creates,creates,クリエイツ
created,created,クリエイティドゥ
create,create,クリエイトゥ
creasing,creasing,クリーシング
creases,creases,クリーシズ
creased,creased,クリーストゥ
crease,crease,クリース
creap,creap,クリープ
creamy,creamy,クリーミイ
creams,creams,クリームズ
creaming,creaming,クリーミング
creamery,creamery,クリーメリー
creamer,creamer,クリーマー
creamed,creamed,クリームドゥ
cream,cream,クリーム
creaky,creaky,クリーキー
creaks,creaks,クリークス
creaking,creaking,クリィキング
creaked,creaked,クリークトゥ
creak,creak,クリーク
crea,crea,クリエイ
crcfile,crcfile,シイアールシイファイル
crazy,crazy,クレイジー
crazing,crazing,クレイジング
craziness,craziness,クレイジネス
crazily,crazily,クレイジリー
craziest,craziest,クレイジストゥ
crazies,crazies,クレイジズ
crazier,crazier,クレイジア
crazed,crazed,クレイズドゥ
craze,craze,クレイジ
crayon,crayon,クレイヨン
crayfish,crayfish,クレイフィッシュ
cray,cray,クレイ
craws,craws,クローズ
crawling,crawling,クローリング
crawler,crawler,クローラー
crawled,crawled,クロールドゥ
crawl,crawl,クロール
crawfish,crawfish,クローフィッシュ
craw,craw,クロー
craving,craving,クレイビング
craven,craven,クレイブン
craved,craved,クレイブドゥ
crave,crave,クレイブ
cravat,cravat,クラバットゥ
crates,crates,クレイツ
crater,crater,クレイター
crated,crated,クレイティドゥ
crate,crate,クレイトゥ
cratch,cratch,クラッチ
crass,crass,クラス
crashing,crashing,クラッシング
crasher,crasher,クラッシャー
crashed,crashed,クラッシュトゥ
crash,crash,クラッシュ
crapulous,crapulous,クラピュラス
crapping,crapping,クラッピング
crapped,crapped,クラップトゥ
crapola,crapola,クラポーラ
crape,crape,クレイプ
crap,crap,クラップ
cranny,cranny,クラニー
crannies,crannies,クラニイズ
cranky,cranky,クランキー
cranking,cranking,クランキング
cranker,cranker,クランカー
cranked,cranked,クランクトゥ
crank,crank,クランク
cranium,cranium,クレイニアム
cranio,cranio,クレイニオウ
craning,craning,クレイニング
cranial,cranial,クレイニアル
cranes,cranes,クレインズ
craned,craned,クレインドゥ
crane,crane,クレイン
cranberry,cranberry,クランベリー
cranberries,cranberries,クランベリズ
crams,crams,クラムズ
cramps,cramps,クランプス
cramping,cramping,クランピング
cramped,cramped,クランプトゥ
cramp,cramp,クランプ
cramming,cramming,クラミング
crammer,crammer,クラマー
crammed,crammed,クラムドゥ
cramm,cramm,クラム
craming,craming,クラミング
cramer,cramer,クレイマー
cramed,cramed,クラムドゥ
cram,cram,クラム
crakower,crakower,クラッカワー
craig,craig,クレイグ
cragy,cragy,クラジー
craggy,craggy,クラッギー
cragged,cragged,クラゲドゥ
crag,crag,クラグ
crafty,crafty,クラフティー
craftsmenship,craftsmenship,クラフツメンシップ
craftsmen,craftsmen,クラフツマン
craftsmanship,craftsmanship,クラフツマンシップ
craftsman,craftsman,クラフツマン
crafts,crafts,クラフツ
crafting,crafting,クラフティング
craftiness,craftiness,クラフティネス
craftily,craftily,クラフティリー
crafted,crafted,クラフティドゥ
craft,craft,クラフトゥ
cradle,cradle,クレイドゥル
cracksman,cracksman,クラックスマン
crackling,crackling,クラックリング
crackled,crackled,クラックルドゥ
crackle,crackle,クラックル
cracking,cracking,クラッキング
cracker,cracker,クラッカー
cracked,cracked,クラックトゥ
crack,crack,クラック
crabgrass,crabgrass,クレイブグラス
crabby,crabby,クラビー
crabbed,crabbed,クラベドゥ
crab,crab,クラブ
cpuchk,cpuchk,シーピーユーチェック
cpubench,cpubench,シイピイユウベンチ
cpterm,cpterm,シーピーターム
cpro,cpro,シープロ
cpactime,cpactime,シイパックタイム
cozy,cozy,コウジー
coziness,coziness,コウジネス
coziest,coziest,コウジエストゥ
cozier,cozier,コウジアー
coyotes,coyotes,カイオウツ
coyote,coyote,カイオウトゥ
coyly,coyly,コイリー
coy,coy,コイ
coxey,coxey,コクシー
coxae,coxae,コクシー
coxa,coxa,コクサ
cox,cox,コックス
cowshed,cowshed,カウシェッドゥ
cows,cows,カウズ
cowrie,cowrie,カウリー
cowpuncher,cowpuncher,カウパンチャー
cowpoke,cowpoke,カウポーク
coworker,coworker,コーワーカー
cowling,cowling,カウリング
cowlick,cowlick,カウリック
cowl,cowl,カウル
cowie,cowie,コウイイ
cowhide,cowhide,カウハイドゥ
cowherd,cowherd,カウハードゥ
cowering,cowering,カウワリング
cowered,cowered,カウアードゥ
cower,cower,カウアー
cowed,cowed,カウドゥ
cowdice,cowdice,カウディス
cowboy,cowboy,カウボーイ
cowards,cowards,カワーズ
cowardice,cowardice,カワーディス
coward,coward,カワードゥ
cow,cow,カウ
covlan,covlan,コブラン
covets,covets,カビッツ
covetous,covetous,カヴィタス
coveting,coveting,カビティング
coveter,coveter,カビッター
coveted,coveted,カビティドゥ
covetable,covetable,カビタブル
covet,covet,カビットゥ
covet,covet,カヴィットゥ
coverts,coverts,カバーツ
covert,covert,カバートゥ
coverlet,coverlet,カバレットゥ
covering,covering,カバリング
covered,covered,カバードゥ
coverall,coverall,カバール
coverages,coverages,カバレイジズ
coverage,coverage,カバレッジ
cover,cover,カバー
covenants,covenants,カバナンツ
covenant,covenant,カバナントゥ
cove,cove,コウブ
couth,couth,クース
couter,couter,クーター
cousteau,cousteau,クストウ
cousrouf,cousrouf,カスラフ
cousin,cousin,カズン
courtship,courtship,コートゥシップ
courts,courts,コーツ
courtly,courtly,コートゥリー
courting,courting,コーティング
courtier,courtier,コーティアー
courtesy,courtesy,コーテシー
courtesies,courtesies,コーテシイズ
courtesan,courtesan,コーティザン
courteous,courteous,コーティアス
courted,courted,コーティドゥ
court,court,コートゥ
coursing,coursing,コーシング
courses,courses,コーシズ
courser,courser,コーサー
coursed,coursed,コーストゥ
course,course,コース
courier,courier,クーリエ
couraging,couraging,カレィジング
courageous,courageous,カレイジャス
couraged,couraged,カレィジドゥ
courage,courage,カレィジ
coupon,coupon,クーポン
coupling,coupling,カップリング
couplet,couplet,カップレットゥ
couples,couples,カップルズ
coupler,coupler,カプラー
coupled,coupled,カップルドゥ
couple,couple,カップル
